n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
75,0,1.372288015808758,512.0,245.6713250100541,0.1717039266666787,-33.5903377200807,-279.2616627301348,-12.877794500000903,-3.551784909735119,0.146484375,75.0,12.877794500000903,-1.4194332,-3.7234888364017973
76,0,1.372288015808758,512.0,246.84352145442574,0.16456310526313334,-35.97258168544414,-282.8161031398699,-12.506795999998133,-3.5567014097351546,0.1484375,76.0,12.506795999998133,-1.4379805263157894,-3.7212645149982877
77,0,1.372288015808758,512.0,247.98855376851247,0.15772628571426434,-38.38651178109262,-286.3750655496051,-12.144923999998355,-3.561430409735152,0.150390625,77.0,12.144923999998355,-1.4563459740259739,-3.7191566954494166
78,0,1.372288015808758,512.0,249.10834546913145,0.1509717948718073,-40.830618490208735,-289.9389639593402,-11.77580000000097,-3.566194409735118,0.15234375,78.0,11.77580000000097,-1.4745224358974358,-3.7171662046069254
79,0,1.372288015808758,512.0,250.19560877892286,0.1442413227848143,-43.31184559015247,-293.50745436907533,-11.39506450000033,-3.5710429097351266,0.154296875,79.0,11.39506450000033,-1.4925811392405064,-3.715284232519941
80,0,1.372288015808758,512.0,251.27415814839503,0.1375947125000067,-45.80689163041541,-297.08104977881044,-11.007577000000538,-3.5759184097351238,0.15625,80.0,11.007577000000538,-1.51031425,-3.7135131222351303
81,0,1.372288015808758,512.0,252.3322543700581,0.1314891913580323,-48.32703681848747,-300.6592911885456,-10.650624500000617,-3.5803539097351234,0.158203125,81.0,10.650624500000617,-1.5278353086419754,-3.711843101093155
82,0,1.372288015808758,512.0,253.357757104257,0.12536742682926538,-50.884000494023695,-304.2417575982807,-10.28012899999976,-3.5848979097351332,0.16015625,82.0,10.28012899999976,-1.545256219512195,-3.7102653365643987
83,0,1.372288015808758,512.0,254.37617020983822,0.11888327108434658,-53.452916798177625,-307.82908700801585,-9.867311500000767,-3.589900909735121,0.162109375,83.0,9.867311500000767,-1.5623622891566267,-3.708784180819468
84,0,1.372288015808758,512.0,255.3704279662819,0.11287910714284792,-56.05113145146902,-311.4215594177509,-9.481844999999225,-3.5945204097351393,0.1640625,84.0,9.481844999999225,-1.579315238095238,-3.707399516877987
85,0,1.372288015808758,512.0,256.3366152916351,0.10681221176467208,-58.68151253585103,-315.0181278274861,-9.079037999997126,-3.5992834097351647,0.166015625,85.0,9.079037999997126,-1.5961450588235293,-3.706095621499837
86,0,1.372288015808758,512.0,257.2921768472032,0.10093377906978104,-61.327949390018006,-318.62012623722126,-8.68030500000117,-3.6039514097351173,0.16796875,86.0,8.68030500000117,-1.612719534883721,-3.7048851888048984
87,0,1.372288015808758,512.0,258.2335988153635,0.09546306896552793,-63.992431831592825,-322.22603064695636,-8.30528700000093,-3.60828440973512,0.169921875,87.0,8.30528700000093,-1.6290641379310344,-3.703747478700648
