phase,mu_0,beta,volume,kT,density,omega,P
1,-2.5763011154341364,0.8333333333333334,512.0,1.2,0.7121006480560066,-395.43685478557893,0.7723376070030838
1,-2.565176885845799,0.8333333333333334,512.0,1.2,0.7129614843336984,-399.4951536746212,0.7802639720207445
1,-2.55415483351634,0.8333333333333334,512.0,1.2,0.713808217486181,-403.52099472342843,0.7881269428191962
1,-2.543233098498147,0.8333333333333334,512.0,1.2,0.7146412136519524,-407.51489092839586,0.7959275213445232
1,-2.532409871171241,0.8333333333333334,512.0,1.2,0.7154608297059841,-411.47734340857056,0.8036666863448644
1,-2.521683390443764,0.8333333333333334,512.0,1.2,0.7162674126488379,-415.40884177782027,0.8113453940973052
1,-2.5110519420321866,0.8333333333333334,512.0,1.2,0.7170612989381252,-419.30986449701726,0.8189645790957368
1,-2.5005138568170295,0.8333333333333334,512.0,1.2,0.717842813794525,-423.18087920706944,0.8265251547013075
1,-2.4900675092701605,0.8333333333333334,512.0,1.2,0.7186122705105463,-427.02234304373707,0.834028013757299
1,-2.479711315949953,0.8333333333333334,512.0,1.2,0.7193699697863865,-430.8347029352635,0.8414740291704366
1,-2.4694437340608295,0.8333333333333334,512.0,1.2,0.7201161991135158,-434.61839588389523,0.8488640544607329
1,-2.459263260073906,0.8333333333333334,512.0,1.2,0.7208512322231779,-438.373849232412,0.8561989242820547
1,-2.44916842840566,0.8333333333333334,512.0,1.2,0.7215753286137739,-442.10148091679014,0.8634794549156057
1,-2.439157810151709,0.8333333333333334,512.0,1.2,0.7222887331681478,-445.8016997061335,0.870706444738542
1,-2.429230011872976,0.8333333333333334,512.0,1.2,0.7229916758690688,-449.47490543097746,0.8778806746698778
1,-2.4193836744316477,0.8333333333333334,512.0,1.2,0.7236843716187576,-453.12148920105307,0.8850029085958068
1,-2.409617471874508,0.8333333333333334,512.0,1.2,0.7243670201660579,-456.74183361355506,0.8920738937764747
1,-2.399930110361343,0.8333333333333334,512.0,1.2,0.7250398061428198,-460.33631295291036,0.899094361236153
1,-2.3903203271362554,0.8333333333333334,512.0,1.2,0.7257028992092321,-463.90529338299723,0.9060650261386665
1,-2.3807868895398423,0.8333333333333334,512.0,1.2,0.7263564543061799,-467.4491331326972,0.9129865881497993
1,-2.371328594060301,0.8333333333333334,512.0,1.2,0.7270006120112009,-470.96818267561207,0.9198597317883048
1,-2.3619442654216445,0.8333333333333334,512.0,1.2,0.7276354989932674,-474.4627849046993,0.9266851267669908
1,-2.3526327557072895,0.8333333333333334,512.0,1.2,0.7282612285604234,-477.9332753025256,0.9334634283252453
1,-2.343392943517384,0.8333333333333334,512.0,1.2,0.7288779012932364,-481.37998210776374,0.940195277554226
1,-2.334223733158336,0.8333333333333334,512.0,1.2,0.7294856057561103,-484.80322647848465,0.9468813017157903
1,-2.325124053863068,0.8333333333333334,512.0,1.2,0.7300844192777057,-488.2033226527387,0.9535221145561302
1,-2.3160928590406145,0.8333333333333334,512.0,1.2,0.7306744087910844,-491.5805781068442,0.9601183166149301
1,-2.30712912555375,0.8333333333333334,512.0,1.2,0.7312556317236864,-494.9352937117369,0.9666704955307361
1,-2.298231853023392,0.8333333333333334,512.0,1.2,0.731828136926898,-498.2677638876727,0.9731792263431107
1,-2.2894000631586056,0.8333333333333334,512.0,1.2,0.7323919656347658,-501.57827675751,0.9796450717920118
1,-2.280632799111086,0.8333333333333334,512.0,1.2,0.7329471524413584,-504.8671142987413,0.9860685826147291
1,-2.271929124853044,0.8333333333333334,512.0,1.2,0.7334937262863739,-508.13455249439,0.9924502978406055
1,-2.263288124577498,0.8333333333333334,512.0,1.2,0.7340317114388256,-511.3808614828334,0.998790745083659
1,-2.254708902120001,0.8333333333333334,512.0,1.2,0.7345611284690237,-514.6063057065684,1.0050904408331414
1,-2.2461905804008917,0.8333333333333334,512.0,1.2,0.7350819951995764,-517.8111440598952,1.011349890741983
1,-2.237732300887206,0.8333333333333334,512.0,1.2,0.7355943276267537,-520.9956300354522,1.0175695899129926
1,-2.2293332230734157,0.8333333333333334,512.0,1.2,0.7360981408043008,-524.1600118695071,1.023750023182631
1,-2.220992523980217,0.8333333333333334,512.0,1.2,0.7365934496825817,-527.3045326858809,1.029891665402111
1,-2.2127093976706145,0.8333333333333334,512.0,1.2,0.7370802698968438,-530.4294306383565,1.03599498171554
1,-2.2044830547825978,0.8333333333333334,512.0,1.2,0.7375586184993204,-533.5349390514107,1.0420604278347865
1,-2.196312722077719,0.8333333333333334,512.0,1.2,0.7380285146308536,-536.6212865590924,1.0480884503107273
1,-2.1881976420049445,0.8333333333333334,512.0,1.2,0.738489980128711,-539.6886972418629,1.0540794868005134
