n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
34,0,0.6666666666666666,512.0,169.35083438833402,0.8631826470588481,43.277742,-126.073092388334,-29.348210000000833,-2.844849482009799,0.06640625,34.0,29.348210000000833,-0.3406878529411765,-3.708032129068647
35,0,0.6666666666666666,512.0,173.2200005370105,0.8627924285714491,44.31475866666666,-128.90524187034381,-30.19773500000072,-2.8202144820098027,0.068359375,35.0,30.19773500000072,-0.35079605714285717,-3.683006910581252
36,0,0.6666666666666666,512.0,177.05186268568696,0.862114444444515,45.33834133333333,-131.7135213523536,-31.03612000000254,-2.796594482009752,0.0703125,36.0,31.03612000000254,-0.3609024444444444,-3.658708926454267
37,0,0.6666666666666666,512.0,180.84792016769666,0.8616132432432582,46.34948933333334,-134.49843083436332,-31.87969000000055,-2.7734794820098045,0.072265625,37.0,31.87969000000055,-0.37096664864864864,-3.6350927252530627
38,0,0.6666666666666666,512.0,184.60733031637324,0.8611734210525966,47.34685,-137.26048031637322,-32.72458999999867,-2.7509444820098565,0.07421875,38.0,32.72458999999867,-0.3810453947368421,-3.6121179030624533
39,0,0.6666666666666666,512.0,188.33164313171636,0.8606573076922447,48.33132333333333,-140.00031979838303,-33.56563499999754,-2.7290944820098844,0.076171875,39.0,33.56563499999754,-0.3911029487179487,-3.589751789702129
40,0,0.6666666666666666,512.0,192.02185061372631,0.8601422500000127,49.303181333333335,-142.718669280393,-34.405690000000504,-2.707824482009812,0.078125,40.0,34.405690000000504,-0.40113070000000006,-3.5679667320098245
41,0,0.6666666666666666,512.0,195.67735542906934,0.8594214634146887,50.26138666666667,-145.41596876240266,-35.23628000000224,-2.6873094820097663,0.080078125,41.0,35.23628000000224,-0.41116878048780486,-3.546730945424455
42,0,0.6666666666666666,512.0,199.30037024441253,0.8588461904761397,51.207082,-148.09328824441252,-36.07153999999787,-2.6671844820098727,0.08203125,42.0,36.07153999999787,-0.4211756428571429,-3.526030672486012
43,0,0.6666666666666666,512.0,202.89072505975574,0.858272325581354,52.14038733333334,-150.7503377264224,-36.90570999999822,-2.6475494820098646,0.083984375,43.0,36.90570999999822,-0.4311492790697674,-3.5058218075912184
44,0,0.6666666666666666,512.0,206.44779120843225,0.8573702272728053,53.059404,-153.38838720843225,-37.724290000003435,-2.6287294820097458,0.0859375,44.0,37.724290000003435,-0.4411566818181818,-3.486099709282551
